17420832 (100.0)	3483910 (20.0)	1098 (0.0)	4009 (0.0)	1152 (0.0)


5974032 (34.3)	1194456 (20.0)	88 (0.0)	25 (0.0)	SMALL N
2871930 (16.5)	573391 (20.0)	132 (0.0)	66 (0.0)	17 (0.0)
3067912 (17.6)	614502 (20.0)	284 (0.0)	243 (0.0)	49 (0.0)
2406215 (13.8)	481648 (20.0)	324 (0.0)	488 (0.0)	131 (0.0)
1952015 (11.2)	390440 (20.0)	231 (0.0)	1153 (0.1)	354 (0.0)
1148728 (6.6)	229473 (20.0)	39 (0.0)	2034 (0.2)	596 (0.1)


8726979 (50.1)	1743907 (20.0)	305 (0.0)	1447 (0.0)	425 (0.0)
8693853 (49.9)	1740003 (20.0)	793 (0.0)	2562 (0.0)	727 (0.0)


314037 (1.8)	62301 (19.8)	7 (0.0)	108 (0.0)	28 (0.0)
4811487 (27.6)	961157 (20.0)	105 (0.0)	1023 (0.0)	288 (0.0)
4727168 (27.1)	945338 (20.0)	319 (0.0)	1168 (0.0)	363 (0.0)
2405830 (13.8)	481908 (20.0)	300 (0.0)	827 (0.0)	241 (0.0)
930211 (5.3)	185612 (20.0)	130 (0.0)	334 (0.0)	84 (0.0)
467093 (2.7)	93779 (20.1)	95 (0.0)	208 (0.0)	47 (0.0)
3765006 (21.6)	753815 (20.0)	142 (0.0)	341 (0.0)	101 (0.0)


5686215 (32.6)	1138208 (20.0)	322 (0.0)	724 (0.0)	220 (0.0)
7225197 (41.5)	1443821 (20.0)	663 (0.0)	2778 (0.0)	791 (0.0)
3821922 (21.9)	764424 (20.0)	104 (0.0)	492 (0.0)	134 (0.0)
687498 (3.9)	137457 (20.0)	9 (0.0)	15 (0.0)	7 (0.0)


10961052 (62.9)	2191661 (20.0)	613 (0.0)	2493 (0.0)	693 (0.0)
170729 (1.0)	34342 (20.1)	18 (0.0)	30 (0.0)	10 (0.0)
1028813 (5.9)	205061 (19.9)	133 (0.0)	277 (0.0)	111 (0.0)
342239 (2.0)	68555 (20.0)	71 (0.0)	115 (0.0)	32 (0.0)
320915 (1.8)	64220 (20.0)	44 (0.0)	47 (0.0)	23 (0.0)
4597084 (26.4)	920071 (20.0)	219 (0.0)	1047 (0.0)	283 (0.0)


3342763 (19.2)	668047 (20.0)	224 (0.0)	927 (0.0)	239 (0.0)
3479242 (20.0)	696016 (20.0)	268 (0.0)	854 (0.0)	250 (0.0)
3483284 (20.0)	697441 (20.0)	228 (0.0)	792 (0.0)	230 (0.0)
3478604 (20.0)	696200 (20.0)	174 (0.0)	722 (0.0)	211 (0.0)
3501396 (20.1)	699212 (20.0)	202 (0.0)	697 (0.0)	216 (0.0)
135543 (0.8)	26994 (19.9)	SMALL N	17 (0.0)	6 (0.0)


5590903 (32.1)	1118300 (20.0)	179 (0.0)	831 (0.0)	253 (0.0)
2504371 (14.4)	500680 (20.0)	138 (0.0)	655 (0.0)	186 (0.0)
5569836 (32.0)	1113817 (20.0)	426 (0.0)	1298 (0.0)	365 (0.0)
3755722 (21.6)	751113 (20.0)	355 (0.0)	1225 (0.0)	348 (0.0)
0 (0.0)	0 (  .)	0 (  .)	0 (  .)	0 (  .)



715539 (4.1)	143128 (20.0)	96 (0.0)	948 (0.1)	286 (0.0)
16705293 (95.9)	3340782 (20.0)	1002 (0.0)	3061 (0.0)	866 (0.0)

1481350 (8.5)	296038 (20.0)	171 (0.0)	538 (0.0)	172 (0.0)
15939482 (91.5)	3187872 (20.0)	927 (0.0)	3471 (0.0)	980 (0.0)

1180379 (6.8)	236197 (20.0)	148 (0.0)	1467 (0.1)	439 (0.0)
16240453 (93.2)	3247713 (20.0)	950 (0.0)	2542 (0.0)	713 (0.0)

1732099 (9.9)	346312 (20.0)	350 (0.0)	1722 (0.1)	494 (0.0)
15688733 (90.1)	3137598 (20.0)	748 (0.0)	2287 (0.0)	658 (0.0)

82118 (0.5)	16544 (20.1)	7 (0.0)	77 (0.1)	31 (0.0)
17338714 (99.5)	3467366 (20.0)	1091 (0.0)	3932 (0.0)	1121 (0.0)

67801 (0.4)	13622 (20.1)	17 (0.0)	98 (0.1)	25 (0.0)
17353031 (99.6)	3470288 (20.0)	1081 (0.0)	3911 (0.0)	1127 (0.0)

114796 (0.7)	23240 (20.2)	SMALL N	81 (0.1)	26 (0.0)
17306036 (99.3)	3460670 (20.0)	1093 (0.0)	3928 (0.0)	1126 (0.0)

377601 (2.2)	75739 (20.1)	41 (0.0)	702 (0.2)	172 (0.0)
17043231 (97.8)	3408171 (20.0)	1057 (0.0)	3307 (0.0)	980 (0.0)

172934 (1.0)	34570 (20.0)	13 (0.0)	213 (0.1)	59 (0.0)
17247898 (99.0)	3449340 (20.0)	1085 (0.0)	3796 (0.0)	1093 (0.0)

870721 (5.0)	173825 (20.0)	49 (0.0)	193 (0.0)	54 (0.0)
16550111 (95.0)	3310085 (20.0)	1049 (0.0)	3816 (0.0)	1098 (0.0)

20210 (0.1)	3947 (19.5)	10 (0.0)	34 (0.2)	SMALL N
17400622 (99.9)	3479963 (20.0)	1088 (0.0)	3975 (0.0)	1148 (0.0)

28261 (0.2)	5589 (19.8)	SMALL N	19 (0.1)	8 (0.0)
17392571 (99.8)	3478321 (20.0)	1094 (0.0)	3990 (0.0)	1144 (0.0)

886338 (5.1)	176794 (19.9)	87 (0.0)	377 (0.0)	123 (0.0)
16534494 (94.9)	3307116 (20.0)	1011 (0.0)	3632 (0.0)	1029 (0.0)

